dataset,subject,task,eeg_path,fmri_path,events_path,tr_sec
xp1,sub-xp103,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp103,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp103,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp103,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp103,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/eeg/sub-xp103_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp103/func/sub-xp103_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp104,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp104,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp104,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp104,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/eeg/sub-xp104_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp104/func/sub-xp104_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp105,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp105,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp105,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp105,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp105,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp105,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/eeg/sub-xp105_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp105/func/sub-xp105_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp106,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp106,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp106,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp106,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp106,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp106,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/eeg/sub-xp106_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp106/func/sub-xp106_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp107,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp107,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp107,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp107,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp107,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp107,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/eeg/sub-xp107_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp107/func/sub-xp107_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp108,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp108,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
xp1,sub-xp108,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp108,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp108,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp108,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/eeg/sub-xp108_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp108/func/sub-xp108_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp109,motorloc,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-motorloc_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-motorloc_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-motorloc_events.tsv,2.0
xp1,sub-xp109,eegNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-eegNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-eegNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegNF_events.tsv,2.0
xp1,sub-xp109,fmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-fmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-fmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-fmriNF_events.tsv,2.0
xp1,sub-xp109,eegfmriNF,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/eeg/sub-xp109_task-eegfmriNF_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp109/func/sub-xp109_task-eegfmriNF_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-eegfmriNF_events.tsv,2.0
xp1,sub-xp110,MIpre,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/eeg/sub-xp110_task-MIpre_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/func/sub-xp110_task-MIpre_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpre_events.tsv,2.0
xp1,sub-xp110,MIpost,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/eeg/sub-xp110_task-MIpost_eeg.vhdr,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/sub-xp110/func/sub-xp110_task-MIpost_bold.nii.gz,/home/sudaxin/projects/paired_data/downloads/paired_datasets/Motor_imagery_neurofeedback_XP1_OpenNeuro_ds002336/task-MIpost_events.tsv,2.0
